epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1687.17,0.69315,0.83652,0.87618,0.15901,0.12803,0.08432,0.06871,1.12981,3.71963,1.20936,4.017e-05,4.017e-05,4.017e-05
77,1709.16,0.70506,0.84188,0.87015,0.25792,0.11976,0.0853,0.07002,1.13119,3.71993,1.21228,3.86256e-05,3.86256e-05,3.86256e-05
78,1738.16,0.66442,0.82335,0.87191,0.28019,0.11423,0.0847,0.07018,1.13125,3.67617,1.22117,3.70812e-05,3.70812e-05,3.70812e-05
79,1770.82,0.71232,0.84358,0.87668,0.19689,0.11302,0.08365,0.06839,1.12951,3.68255,1.21782,3.55368e-05,3.55368e-05,3.55368e-05
80,1793.93,0.68797,0.83505,0.87158,0.16249,0.12276,0.08106,0.06688,1.13183,3.72348,1.21719,3.39924e-05,3.39924e-05,3.39924e-05
81,1815.3,0.68924,0.83177,0.8792,0.20172,0.11151,0.08078,0.06613,1.11693,3.70871,1.2093,3.2448e-05,3.2448e-05,3.2448e-05
82,1836.48,0.67556,0.80074,0.8713,0.16197,0.12319,0.08032,0.06637,1.12324,3.7213,1.21302,3.09036e-05,3.09036e-05,3.09036e-05
83,1857.79,0.69319,0.82533,0.87723,0.1868,0.11946,0.08262,0.06842,1.12953,3.71502,1.22024,2.93592e-05,2.93592e-05,2.93592e-05
84,1879.41,0.6832,0.81007,0.87508,0.1934,0.11734,0.08682,0.07194,1.13408,3.72118,1.22533,2.78148e-05,2.78148e-05,2.78148e-05
85,1901.28,0.70115,0.81514,0.87804,0.17215,0.13212,0.08536,0.06991,1.13219,3.73005,1.22115,2.62704e-05,2.62704e-05,2.62704e-05
86,1926.05,0.67978,0.79124,0.86845,0.16563,0.11671,0.08726,0.07106,1.13376,3.72112,1.22321,2.4726e-05,2.4726e-05,2.4726e-05
87,1956.99,0.6899,0.81787,0.87638,0.13925,0.12896,0.08635,0.06971,1.13566,3.73175,1.22836,2.31816e-05,2.31816e-05,2.31816e-05
88,1979.35,0.67423,0.80249,0.87203,0.14151,0.1108,0.08449,0.0682,1.12727,3.69798,1.22042,2.16372e-05,2.16372e-05,2.16372e-05
89,2005.93,0.70061,0.83611,0.87868,0.16872,0.10989,0.08577,0.06942,1.12647,3.71043,1.22004,2.00928e-05,2.00928e-05,2.00928e-05
90,2027.79,0.69394,0.83685,0.86999,0.16705,0.1268,0.08429,0.06855,1.13518,3.70221,1.22546,1.85484e-05,1.85484e-05,1.85484e-05
91,2120.17,0.68224,0.86852,0.86118,0.24237,0.11205,0.08472,0.06632,1.1774,3.76142,1.26335,1.7004e-05,1.7004e-05,1.7004e-05
92,2143.43,0.66505,0.80021,0.85763,0.20846,0.14023,0.08906,0.06944,1.17099,3.7182,1.25641,1.54596e-05,1.54596e-05,1.54596e-05
93,2164.77,0.65718,0.77753,0.86121,0.21912,0.14317,0.09389,0.07262,1.1674,3.72015,1.25155,1.39152e-05,1.39152e-05,1.39152e-05
94,2185.85,0.66429,0.79775,0.85879,0.21713,0.13839,0.09348,0.07419,1.16152,3.73379,1.24285,1.23708e-05,1.23708e-05,1.23708e-05
95,2212.11,0.65294,0.76687,0.85465,0.21654,0.13728,0.09337,0.07355,1.16356,3.767,1.2434,1.08264e-05,1.08264e-05,1.08264e-05
96,2235.95,0.66213,0.77223,0.84977,0.21477,0.13553,0.09364,0.07395,1.16169,3.75378,1.24356,9.282e-06,9.282e-06,9.282e-06
97,2257.33,0.65056,0.7581,0.85966,0.24065,0.13356,0.09509,0.0752,1.15874,3.74911,1.2395,7.7376e-06,7.7376e-06,7.7376e-06
98,2278.26,0.65244,0.75934,0.85345,0.2119,0.13326,0.09541,0.07493,1.1528,3.76381,1.23309,6.1932e-06,6.1932e-06,6.1932e-06
99,2299.28,0.65829,0.75776,0.85201,0.24101,0.1292,0.09702,0.07605,1.15632,3.74519,1.23591,4.6488e-06,4.6488e-06,4.6488e-06
100,2320.47,0.66243,0.76242,0.85694,0.22273,0.12722,0.09149,0.07222,1.16147,3.76232,1.23908,3.1044e-06,3.1044e-06,3.1044e-06
